STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,THRESHOLD_COUNTRIES,SCALING,COMMENTS
QC.PRD.CRSGRN.TN.NO,,,,,,,sum,0.65,0,,
QC.PRD.CRSGRN.TN.SHW,QC.PRD.CRSGRN.TN.NO,,,share,,,sum,0.65,0,100,
QC.PRD.CRSGRN.TN.SHP,QC.PRD.CRSGRN.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QC.PRD.CRSGRN.TN.GR10,QC.PRD.CRSGRN.TN.NO,,QC.PRD.CRSGRN.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.PRD.CRSGRN.TN.GR12,QC.PRD.CRSGRN.TN.NO,,QC.PRD.CRSGRN.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.RHRV.CRSGRN.HA.NO,,,,,,,sum,0.65,0,,
QC.RHRV.CRSGRN.HA.SHW,QC.RHRV.CRSGRN.HA.NO,,,share,,,sum,0.65,0,100,
QC.RHRV.CRSGRN.HA.SHL,QC.RHRV.CRSGRN.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,100,
QC.RHRV.CRSGRN.HA.GR10,QC.RHRV.CRSGRN.HA.NO,,QC.RHRV.CRSGRN.HA.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.RHRV.CRSGRN.HA.GR12,QC.RHRV.CRSGRN.HA.NO,,QC.RHRV.CRSGRN.HA.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.YIELD.CRSGRN.HG.NO,,,QC.RHRV.CRSGRN.HA.NO,,,,weighted.mean,0.65,0,,I weighted the yield by the harvested area
QC.YIELD.CRSGRN.HG.GR10,QC.YIELD.CRSGRN.HG.NO,,QC.YIELD.CRSGRN.HG.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.YIELD.CRSGRN.HG.GR12,QC.YIELD.CRSGRN.HG.NO,,QC.YIELD.CRSGRN.HG.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.PRD.RICE.TN.NO,,,,,,,sum,0.65,0,,
QC.PRD.RICE.TN.SHP,QC.PRD.RICE.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QC.PRD.RICE.TN.GR10,QC.PRD.RICE.TN.NO,,QC.PRD.RICE.TN.NO,growth,10,geo,weighted.mean,0.65,0,,
QC.PRD.RICE.TN.GR12,QC.PRD.RICE.TN.NO,,QC.PRD.RICE.TN.NO,growth,12,geo,weighted.mean,0.65,0,,
QC.RHRV.RICE.HA.NO,,,,,,,sum,0.65,0,,
QC.RHRV.RICE.HA.GR10,QC.RHRV.RICE.HA.NO,,QC.RHRV.RICE.HA.NO,growth,10,geo,weighted.mean,0.65,0,,
QC.RHRV.RICE.HA.GR12,QC.RHRV.RICE.HA.NO,,QC.RHRV.RICE.HA.NO,growth,12,geo,weighted.mean,0.65,0,,
QC.YIELD.RICE.HG.NO,,,QC.RHRV.RICE.HA.NO,,,,weighted.mean,0.65,0,,I weighted the yield by the harvested area
QC.YIELD.RICE.HG.GR10,QC.YIELD.RICE.HG.NO,,QC.YIELD.RICE.HG.NO,growth,10,geo,weighted.mean,0.65,0,,
QC.YIELD.RICE.HG.GR12,QC.YIELD.RICE.HG.NO,,QC.YIELD.RICE.HG.NO,growth,12,geo,weighted.mean,0.65,0,,
QC.PRD.WHT.TN.NO,,,,,,,sum,0.65,0,,
QC.PRD.WHT.TN.SHP,QC.PRD.WHT.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QC.PRD.WHT.TN.SHW,QC.PRD.WHT.TN.NO,,,share,,,sum,0.65,0,100,
QC.PRD.WHT.TN.GR10,QC.PRD.WHT.TN.NO,,QC.PRD.WHT.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.PRD.WHT.TN.GR12,QC.PRD.WHT.TN.NO,,QC.PRD.WHT.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.RHRV.WHT.HA.NO,,,,,,,sum,0.65,0,,
QC.RHRV.WHT.HA.SHW,QC.RHRV.WHT.HA.NO,,,share,,,sum,0.65,0,100,
QC.RHRV.WHT.HA.SHL,QC.RHRV.WHT.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0.65,0,100,
QC.RHRV.WHT.HA.GR10,QC.RHRV.WHT.HA.NO,,QC.RHRV.WHT.HA.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.RHRV.WHT.HA.GR12,QC.RHRV.WHT.HA.NO,,QC.RHRV.WHT.HA.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.YIELD.WHT.HG.NO,,,QC.RHRV.WHT.HA.NO,,,,weighted.mean,0.65,0,,I weighted the yield by the harvested area
